GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA21_907: Median after-tax income of household in 2020 ($),v_CA21_906: Median total income of household in 2020 ($)
5350097.01,CT,0097.01,0.3799,3929,1710,1516,72000,81000
5350097.03,CT,0097.03,0.1677,2078,1370,1211,48400,54800
5350097.04,CT,0097.04,0.323,5031,2481,2283,73000,83000
5350098.00,CT,0098.00,0.7166,6976,3231,2999,79000,91000
5350099.00,CT,0099.00,0.5812,6282,3371,3091,65000,74500
5350100.00,CT,0100.00,0.2858,2961,1552,1439,76000,89000
5350101.00,CT,0101.00,0.4269,3246,1653,1505,77000,91000
5350102.02,CT,0102.02,0.1157,4561,3199,2690,58800,67000
5350102.03,CT,0102.03,0.1309,3576,2173,2038,65000,76000
5350102.04,CT,0102.04,0.1013,706,311,290,95000,110000
5350102.05,CT,0102.05,0.119,842,358,343,93000,114000
5350103.00,CT,0103.00,0.8379,6195,2777,2646,104000,125000
5350104.00,CT,0104.00,0.7373,5476,2135,2053,123000,150000
5350105.00,CT,0105.00,0.5507,4318,1921,1780,87000,103000
5350106.00,CT,0106.00,1.3787,3680,1427,1311,87000,100000
5350107.00,CT,0107.00,0.7226,4851,1867,1734,88000,99000
5350108.00,CT,0108.00,0.7441,5829,2678,2460,62000,68500
5350109.00,CT,0109.00,0.6301,5470,2382,2225,88000,102000
5350110.00,CT,0110.00,0.5441,3491,1544,1412,78500,90000
5350111.00,CT,0111.00,0.4532,2442,950,903,87000,101000
5350112.00,CT,0112.00,0.5017,4761,1995,1843,81000,93000
5350113.00,CT,0113.00,0.3823,2521,1189,1041,82000,93000
5350114.00,CT,0114.00,0.6246,5164,2564,2331,68000,79500
5350115.00,CT,0115.00,0.3777,4219,1737,1620,76000,85000
5350116.00,CT,0116.00,0.6801,4445,1982,1834,81000,93000
5350117.00,CT,0117.00,0.3983,2518,1416,1270,93000,112000
5350118.00,CT,0118.00,0.6969,3995,2187,2018,87000,104000
5350119.00,CT,0119.00,0.8489,4856,2782,2458,86000,102000
5350120.00,CT,0120.00,0.2586,1418,679,629,139000,178000
5350121.00,CT,0121.00,0.2974,3183,2088,1759,92000,114000
5350122.00,CT,0122.00,0.5338,6199,3791,3439,81000,97000
5350123.00,CT,0123.00,0.075,2377,1484,1399,59600,70000
5350124.00,CT,0124.00,0.5514,5529,3605,3200,76500,92000
5350125.00,CT,0125.00,1.1201,4270,1610,1540,194000,258000
5350126.00,CT,0126.00,1.4493,4164,1736,1672,116000,144000
5350127.00,CT,0127.00,0.7405,5293,2246,2127,109000,134000
5350128.02,CT,0128.02,0.5187,12611,8109,6896,69500,82000
5350128.04,CT,0128.04,0.162,4772,3145,2936,69000,80000
5350128.05,CT,0128.05,0.1816,1127,519,484,85000,102000
5350128.06,CT,0128.06,0.0858,4870,3114,2867,62800,73500
5350129.00,CT,0129.00,0.9274,5642,2780,2565,91000,110000
5350130.00,CT,0130.00,1.279,3355,1349,1253,147000,196000
5350131.00,CT,0131.00,1.0444,5258,2503,2330,96000,118000
5350132.00,CT,0132.00,0.9246,5350,2127,2010,101000,119000
5350133.00,CT,0133.00,0.6675,7082,3441,3237,68500,77500
5350134.00,CT,0134.00,0.417,2911,1070,1020,136000,170000
5350135.00,CT,0135.00,0.7162,6782,3909,3431,70500,82000
5350136.01,CT,0136.01,0.192,7267,4719,4263,61200,70000
5350136.02,CT,0136.02,0.2101,8740,6747,5167,60800,70000
5350137.00,CT,0137.00,0.9142,6916,3639,3373,77000,89000
5350138.00,CT,0138.00,0.9655,3010,1218,1134,145000,194000
5350139.01,CT,0139.01,0.7736,4316,2091,1965,93000,112000
5350139.02,CT,0139.02,0.5095,2440,945,887,154000,198000
5350140.00,CT,0140.00,0.572,2341,835,781,214000,286000
5350141.01,CT,0141.01,0.5504,4493,1734,1663,137000,168000
5350141.02,CT,0141.02,0.6876,4653,1687,1621,151000,188000
5350142.00,CT,0142.00,1.0439,5589,2316,2176,122000,151000
5350150.00,CT,0150.00,1.071,4210,1659,1589,132000,164000
5350151.00,CT,0151.00,0.6388,3756,1580,1518,61200,66000
5350152.00,CT,0152.00,0.8517,4653,1847,1784,108000,130000
5350153.00,CT,0153.00,0.9311,4460,1761,1675,77500,88000
5350154.00,CT,0154.00,2.0905,6192,2905,2769,66500,75000
5350155.00,CT,0155.00,0.8071,3080,1317,1240,54000,59600
5350156.01,CT,0156.01,0.6031,5700,2373,2288,52000,55200
5350156.02,CT,0156.02,0.5874,2810,1120,1063,69000,78000
5350157.00,CT,0157.00,0.4606,2716,1117,1036,66500,72000
5350158.00,CT,0158.00,0.6353,3036,1421,1322,53200,57600
5350159.01,CT,0159.01,0.4925,3506,1403,1272,75000,83000
5350159.02,CT,0159.02,0.5785,4865,1899,1787,78000,88000
5350160.00,CT,0160.00,0.7312,3152,1235,1154,77500,89000
5350161.00,CT,0161.00,0.8113,6885,2723,2556,77000,86000
5350162.00,CT,0162.00,0.5757,4846,2081,1908,70500,77000
5350163.00,CT,0163.00,0.4542,4308,1909,1743,75500,85000
5350164.00,CT,0164.00,0.6282,6002,2616,2423,78000,89000
5350165.00,CT,0165.00,0.4849,4209,1999,1830,80000,93000
5350166.00,CT,0166.00,0.786,4024,1733,1624,97000,115000
5350167.01,CT,0167.01,0.1341,2446,1740,1540,63600,74000
5350167.02,CT,0167.02,0.6014,5745,3257,2878,61600,70000
5350168.00,CT,0168.00,0.5655,5674,2836,2565,58800,64500
5350169.01,CT,0169.01,0.3781,3587,1571,1422,74500,84000
5350169.02,CT,0169.02,0.4378,7596,3426,3252,69500,79000
5350170.00,CT,0170.00,1.0124,3407,1348,1266,75500,84000
5350171.00,CT,0171.00,0.61,3914,1572,1486,61200,65500
5350172.00,CT,0172.00,1.207,2505,1179,1087,54000,59200
5350173.00,CT,0173.00,0.5942,3586,1540,1400,58000,63200
5350174.00,CT,0174.00,1.0531,7062,2755,2621,66000,73000
5350175.01,CT,0175.01,0.7906,5963,2565,2348,56000,61200
5350175.02,CT,0175.02,0.7229,8672,4253,3920,52000,56400
5350176.00,CT,0176.00,1.0009,4261,1762,1651,84000,97000
5350180.00,CT,0180.00,0.6138,6462,3016,2753,63200,70000
5350181.01,CT,0181.01,0.5706,4382,1928,1824,95000,110000
5350181.02,CT,0181.02,0.6018,3546,1645,1554,71500,82000
5350182.00,CT,0182.00,0.7605,5407,2279,2141,99000,117000
5350183.01,CT,0183.01,0.5241,2623,1046,1003,93000,106000
5350183.02,CT,0183.02,0.4281,4035,1621,1574,103000,119000
5350184.01,CT,0184.01,0.4741,5008,2357,2228,67500,74500
5350184.02,CT,0184.02,0.5571,3671,1706,1608,71500,82000
5350185.01,CT,0185.01,0.4992,6836,3480,3279,60000,66500
5350185.02,CT,0185.02,1.1945,4244,2114,1998,63600,71500
5350186.00,CT,0186.00,1.8682,2382,950,915,128000,159000
5350187.00,CT,0187.00,1.1945,3473,1417,1335,100000,118000
5350188.00,CT,0188.00,0.552,2031,831,786,94000,108000
5350189.00,CT,0189.00,1.2261,5655,2340,2265,65500,74000
5350190.01,CT,0190.01,0.3985,8588,3468,3257,61600,67000
5350190.02,CT,0190.02,0.5813,4612,2095,1968,59200,64500
5350191.00,CT,0191.00,0.823,4372,1891,1774,77500,88000
5350192.00,CT,0192.00,0.9181,843,467,414,51600,56000
5350193.00,CT,0193.00,1.3846,3264,1080,1037,102000,116000
5350194.01,CT,0194.01,0.2711,7821,2168,2040,62800,65500
5350194.02,CT,0194.02,0.3063,4717,1616,1493,63600,68500
5350194.03,CT,0194.03,0.2502,2700,1191,1148,48400,51200
5350194.04,CT,0194.04,2.2646,5399,2516,2383,66000,76000
5350195.01,CT,0195.01,0.9373,4425,1747,1576,127000,153000
5350195.02,CT,0195.02,0.3781,2384,977,940,118000,141000
5350196.01,CT,0196.01,0.3774,1942,815,772,117000,138000
5350196.02,CT,0196.02,1.1055,5577,2369,2232,123000,148000
5350200.01,CT,0200.01,0.5578,5594,3140,3002,60400,68000
5350200.02,CT,0200.02,0.1472,1049,671,639,48000,54400
5350201.00,CT,0201.00,0.7606,5528,2932,2734,70000,80000
5350202.00,CT,0202.00,0.3359,1640,668,644,96000,112000
5350203.00,CT,0203.00,0.5966,3425,1609,1518,78500,90000
5350204.00,CT,0204.00,0.7465,4596,2310,2173,68000,77500
5350205.00,CT,0205.00,0.7448,144,1,0,,
5350206.01,CT,0206.01,1.1402,5106,2626,2483,73500,84000
5350206.02,CT,0206.02,1.0895,6294,3059,2810,70500,81000
5350207.00,CT,0207.00,0.675,2597,1295,1142,68500,77500
5350208.00,CT,0208.00,1.2974,4165,2083,1960,53200,57600
5350209.00,CT,0209.00,0.681,2862,1451,1351,56400,61600
5350210.01,CT,0210.01,2.9534,3703,1044,987,115000,136000
5350210.03,CT,0210.03,0.4539,6959,4432,4159,76500,91000
5350210.04,CT,0210.04,0.4751,10080,6673,6166,74000,89000
5350211.00,CT,0211.00,3.2763,6884,2752,2631,88000,101000
5350212.00,CT,0212.00,1.6941,5712,2282,2157,98000,114000
5350213.01,CT,0213.01,0.9423,2658,1026,985,97000,114000
5350213.02,CT,0213.02,7.001,6301,3516,3312,76500,90000
5350214.00,CT,0214.00,2.8231,6728,3333,3186,83000,99000
5350215.00,CT,0215.00,2.5734,7151,3019,2887,91000,107000
5350216.00,CT,0216.00,1.9782,5489,2224,2136,116000,140000
5350217.00,CT,0217.00,1.223,5900,3017,2832,56400,62800
5350218.00,CT,0218.00,0.6764,2674,1055,1016,138000,174000
5350219.00,CT,0219.00,1.3542,4531,1696,1644,113000,136000
5350220.00,CT,0220.00,1.2991,4196,1597,1546,88000,103000
5350221.01,CT,0221.01,1.6291,6363,2754,2674,91000,106000
5350221.02,CT,0221.02,0.805,5269,2169,2061,72500,81000
5350222.01,CT,0222.01,1.2848,7105,2907,2795,86000,99000
5350222.02,CT,0222.02,1.2002,4985,1851,1744,77500,87000
5350223.01,CT,0223.01,0.8578,1522,545,525,133000,160000
5350223.02,CT,0223.02,0.8725,2180,793,763,126000,147000
5350224.00,CT,0224.00,1.0381,1650,581,569,154000,190000
5350225.01,CT,0225.01,0.9188,5209,2597,2472,80000,93000
5350225.02,CT,0225.02,0.3045,10827,5846,5429,62800,72000
5350226.00,CT,0226.00,0.949,2813,1025,1004,157000,196000
5350227.00,CT,0227.00,0.4918,1752,678,651,178000,228000
5350228.00,CT,0228.00,0.8207,3144,1522,1430,115000,142000
5350229.00,CT,0229.00,0.3203,1226,396,388,194000,258000
5350230.01,CT,0230.01,1.4481,2649,1297,1141,84000,101000
5350230.02,CT,0230.02,0.9858,6558,2784,2675,75500,85000
5350231.00,CT,0231.00,3.0227,6273,2559,2469,107000,129000
5350232.00,CT,0232.00,2.0474,3820,1341,1318,166000,208000
5350233.00,CT,0233.00,2.0783,5707,2079,2014,110000,131000
5350234.00,CT,0234.00,2.1001,4531,1642,1593,102000,120000
5350235.01,CT,0235.01,1.4071,2902,1042,1019,109000,129000
5350235.02,CT,0235.02,1.078,5166,2041,1991,83000,94000
5350236.01,CT,0236.01,0.9868,6949,2750,2667,76500,86000
5350236.02,CT,0236.02,3.9589,5902,2282,2241,91000,106000
5350237.01,CT,0237.01,1.1853,6641,2463,2381,67500,74000
5350237.02,CT,0237.02,0.955,3003,1064,1042,95000,110000
5350237.03,CT,0237.03,1.0683,5935,2725,2629,69500,78500
5350238.01,CT,0238.01,1.0368,3500,1327,1302,109000,130000
5350238.02,CT,0238.02,0.9766,5306,2073,1960,74500,83000
5350239.00,CT,0239.00,2.5251,6715,2511,2401,75000,84000
5350240.01,CT,0240.01,1.2712,3377,1282,1242,113000,133000
5350240.02,CT,0240.02,1.0371,6089,2614,2544,68500,78000
5350241.00,CT,0241.00,1.0863,2772,1035,991,103000,120000
5350242.00,CT,0242.00,0.6108,1566,608,577,67500,72000
5350243.01,CT,0243.01,0.3152,6212,2233,2112,66000,71500
5350243.02,CT,0243.02,1.2154,3793,1346,1312,73500,79500
5350244.01,CT,0244.01,1.4233,3663,1308,1262,83000,93000
5350244.02,CT,0244.02,1.4473,5703,1989,1931,69000,75000
5350245.00,CT,0245.00,1.4211,7033,2811,2682,67500,73500
5350246.00,CT,0246.00,1.0727,3345,1312,1263,75500,85000
5350247.01,CT,0247.01,17.2448,9027,3172,3010,77500,88000
5350247.02,CT,0247.02,3.2287,7213,2535,2433,84000,94000
5350248.02,CT,0248.02,1.2135,5538,1840,1779,59600,62000
5350248.03,CT,0248.03,3.7328,2651,791,768,91000,99000
5350248.04,CT,0248.04,1.4771,4945,1677,1576,80000,88000
5350248.05,CT,0248.05,1.1307,4285,1389,1321,81000,89000
5350249.01,CT,0249.01,0.8298,4598,1422,1349,89000,102000
5350249.03,CT,0249.03,2.9649,5569,1671,1592,88000,97000
5350249.04,CT,0249.04,0.6869,2709,863,810,84000,93000
5350249.05,CT,0249.05,0.6431,5606,1705,1619,68000,72500
5350250.01,CT,0250.01,1.3886,5047,1613,1497,79000,87000
5350250.02,CT,0250.02,1.9387,4958,1825,1747,76000,85000
5350250.04,CT,0250.04,0.485,5939,2077,1983,70000,75500
5350250.05,CT,0250.05,0.6689,7031,2283,2201,68500,74000
5350260.01,CT,0260.01,0.7135,6590,2432,2348,67500,74000
5350260.04,CT,0260.04,0.1881,3879,1499,1381,59200,62400
5350260.05,CT,0260.05,0.2543,4139,1387,1330,52800,55200
5350260.06,CT,0260.06,0.9202,4354,1784,1647,68500,75500
5350260.07,CT,0260.07,0.3446,3591,1530,1487,72500,81000
5350261.00,CT,0261.00,1.9129,5547,2301,2207,56400,60800
5350262.01,CT,0262.01,0.6709,5848,2756,2648,60400,67500
5350262.02,CT,0262.02,2.146,6252,2519,2422,68000,75000
5350263.02,CT,0263.02,1.9994,3873,1963,1864,77500,90000
5350263.03,CT,0263.03,1.5561,4635,2192,2086,70500,80000
5350263.04,CT,0263.04,0.6751,6464,3614,3406,66000,76000
5350264.00,CT,0264.00,3.4299,1260,470,416,168000,226000
5350265.00,CT,0265.00,2.6642,5555,1889,1801,160000,204000
5350266.00,CT,0266.00,2.7255,3094,1159,1085,184000,248000
5350267.00,CT,0267.00,2.7052,6042,2117,2036,129000,157000
5350268.00,CT,0268.00,3.0255,6458,2935,2824,83000,96000
5350269.01,CT,0269.01,0.7469,5284,2360,2224,65500,72500
5350269.02,CT,0269.02,1.754,2562,947,908,118000,139000
5350270.01,CT,0270.01,1.1233,4763,1965,1879,76000,85000
5350270.02,CT,0270.02,0.7566,4263,1632,1557,80000,92000
5350271.01,CT,0271.01,0.8935,2394,906,879,95000,109000
5350271.02,CT,0271.02,0.7092,4724,1767,1711,76000,84000
5350272.01,CT,0272.01,0.4552,5945,2414,2318,65500,71500
5350272.02,CT,0272.02,0.9988,4623,1789,1726,80000,90000
5350273.01,CT,0273.01,3.1903,3703,1316,1245,123000,151000
5350273.02,CT,0273.02,1.2888,4032,1528,1461,108000,130000
5350274.01,CT,0274.01,1.5248,4712,1800,1690,90000,103000
5350274.02,CT,0274.02,1.3314,4558,2061,1946,89000,107000
5350275.00,CT,0275.00,1.9615,5567,2422,2295,113000,139000
5350276.01,CT,0276.01,1.2261,6317,2605,2488,89000,105000
5350276.02,CT,0276.02,1.2826,6567,2512,2355,131000,164000
5350277.00,CT,0277.00,1.0278,3925,1323,1199,142000,170000
5350278.00,CT,0278.00,1.3337,7734,2972,2787,83000,93000
5350279.01,CT,0279.01,1.2144,4135,1668,1565,81000,91000
5350279.02,CT,0279.02,1.5756,6140,2375,2260,67000,74500
5350280.00,CT,0280.00,2.1365,7217,3002,2875,63600,70000
5350281.01,CT,0281.01,0.9657,6403,2333,2227,68000,74000
5350281.02,CT,0281.02,0.4129,3921,1339,1295,72500,79000
5350282.00,CT,0282.00,2.2191,4588,1676,1587,90000,104000
5350283.01,CT,0283.01,0.919,5153,1927,1846,63200,69000
5350283.02,CT,0283.02,1.1649,4390,1768,1676,55600,58400
5350284.00,CT,0284.00,1.4127,6762,2566,2407,73000,81000
5350285.00,CT,0285.00,1.1139,3278,1257,1196,78500,86000
5350286.00,CT,0286.00,3.2442,6768,3230,3012,68500,78000
5350287.02,CT,0287.02,1.058,6471,2392,2246,72000,80000
