GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households,"v_CA21_3: Population percentage change, 2016 to 2021"
5350079,CT,79,1.0045,7424,2997,2874,1.3
5350080.01,CT,80.01,0.4847,3707,1717,1586,10.6
5350080.02,CT,80.02,0.4044,4642,2349,2110,-0.9
5350081,CT,81,0.368,2848,1154,1090,0
5350082,CT,82,0.3084,2647,1083,1021,-4.3
5350083,CT,83,0.4464,3869,1921,1798,-4.5
5350084,CT,84,0.409,3552,1558,1464,-6.8
5350085,CT,85,0.4947,4160,2347,2182,4.2
5350086,CT,86,1.139,2528,957,900,-5
5350087,CT,87,1.6034,4814,2608,2374,-6.6
5350088,CT,88,0.2297,3127,2129,1865,-3.8
5350089,CT,89,0.3297,5349,4313,3222,37.3
5350090,CT,90,0.3929,4020,2516,2244,-3
5350091.01,CT,91.01,0.5114,5739,3901,3244,-4.8
5350091.02,CT,91.02,0.323,3421,2260,1919,-3
5350092,CT,92,0.6258,6818,4125,3478,-6.3
5350093,CT,93,0.6155,5358,2481,2221,-5.2
5350094,CT,94,0.6373,4699,2141,1960,-5.1
5350095,CT,95,0.3148,2913,1401,1272,-5.9
5350096.01,CT,96.01,0.1989,1610,716,647,-2.9
5350096.02,CT,96.02,0.3492,3156,1557,1381,-5.4
5350097.01,CT,97.01,0.3799,3929,1710,1516,-9.1
5350097.03,CT,97.03,0.1677,2078,1370,1211,72.2
5350097.04,CT,97.04,0.323,5031,2481,2283,-7.9
5350098,CT,98,0.7166,6976,3231,2999,-1.7
5350099,CT,99,0.5812,6282,3371,3091,-4.6
5350100,CT,100,0.2858,2961,1552,1439,0.2
5350101,CT,101,0.4269,3246,1653,1505,3.8
5350102.02,CT,102.02,0.1157,4561,3199,2690,5.8
5350102.03,CT,102.03,0.1309,3576,2173,2038,-2.9
5350102.04,CT,102.04,0.1013,706,311,290,5.2
5350102.05,CT,102.05,0.119,842,358,343,-2.2
5350103,CT,103,0.8379,6195,2777,2646,2.4
5350104,CT,104,0.7373,5476,2135,2053,-0.9
5350105,CT,105,0.5507,4318,1921,1780,-4.2
5350106,CT,106,1.3787,3680,1427,1311,-2.5
5350107,CT,107,0.7226,4851,1867,1734,-4.6
5350108,CT,108,0.7441,5829,2678,2460,-3.1
5350109,CT,109,0.6301,5470,2382,2225,-0.5
5350110,CT,110,0.5441,3491,1544,1412,-2.4
5350111,CT,111,0.4532,2442,950,903,-2.6
5350112,CT,112,0.5017,4761,1995,1843,-10.1
5350113,CT,113,0.3823,2521,1189,1041,-8.5
5350114,CT,114,0.6246,5164,2564,2331,-3.5
5350115,CT,115,0.3777,4219,1737,1620,-3.5
5350116,CT,116,0.6801,4445,1982,1834,-4
5350117,CT,117,0.3983,2518,1416,1270,13.9
5350118,CT,118,0.6969,3995,2187,2018,-3.2
5350119,CT,119,0.8489,4856,2782,2458,4.9
5350120,CT,120,0.2586,1418,679,629,2.7
5350121,CT,121,0.2974,3183,2088,1759,19.7
5350122,CT,122,0.5338,6199,3791,3439,-0.3
5350123,CT,123,0.075,2377,1484,1399,4.8
5350124,CT,124,0.5514,5529,3605,3200,2.1
5350125,CT,125,1.1201,4270,1610,1540,-3.9
5350126,CT,126,1.4493,4164,1736,1672,-2
5350127,CT,127,0.7405,5293,2246,2127,-2.9
5350128.02,CT,128.02,0.5187,12611,8109,6896,44.9
5350128.04,CT,128.04,0.162,4772,3145,2936,1.6
5350128.05,CT,128.05,0.1816,1127,519,484,19.3
5350128.06,CT,128.06,0.0858,4870,3114,2867,16
5350129,CT,129,0.9274,5642,2780,2565,-2.2
5350130,CT,130,1.279,3355,1349,1253,-5.3
5350131,CT,131,1.0444,5258,2503,2330,-1
5350132,CT,132,0.9246,5350,2127,2010,-2.1
5350133,CT,133,0.6675,7082,3441,3237,-3.5
5350134,CT,134,0.417,2911,1070,1020,-1.6
5350135,CT,135,0.7162,6782,3909,3431,12.2
5350136.01,CT,136.01,0.192,7267,4719,4263,18.6
5350136.02,CT,136.02,0.2101,8740,6747,5167,75.4
5350137,CT,137,0.9142,6916,3639,3373,-2.3
5350138,CT,138,0.9655,3010,1218,1134,-3
5350139.01,CT,139.01,0.7736,4316,2091,1965,3.6
5350139.02,CT,139.02,0.5095,2440,945,887,-4
5350140,CT,140,0.572,2341,835,781,-2.8
5350141.01,CT,141.01,0.5504,4493,1734,1663,4
5350141.02,CT,141.02,0.6876,4653,1687,1621,3.9
5350142,CT,142,1.0439,5589,2316,2176,-3.8
5350150,CT,150,1.071,4210,1659,1589,0.2
5350151,CT,151,0.6388,3756,1580,1518,-0.7
5350152,CT,152,0.8517,4653,1847,1784,2.4
5350153,CT,153,0.9311,4460,1761,1675,0
5350154,CT,154,2.0905,6192,2905,2769,0.6
5350155,CT,155,0.8071,3080,1317,1240,-1.5
5350156.01,CT,156.01,0.6031,5700,2373,2288,0.2
5350156.02,CT,156.02,0.5874,2810,1120,1063,0
5350157,CT,157,0.4606,2716,1117,1036,3.1
5350158,CT,158,0.6353,3036,1421,1322,6.6
5350159.01,CT,159.01,0.4925,3506,1403,1272,0.5
5350159.02,CT,159.02,0.5785,4865,1899,1787,3
5350160,CT,160,0.7312,3152,1235,1154,1.2
5350161,CT,161,0.8113,6885,2723,2556,0.7
5350162,CT,162,0.5757,4846,2081,1908,-5.3
5350163,CT,163,0.4542,4308,1909,1743,-1.1
5350164,CT,164,0.6282,6002,2616,2423,-4.1
5350165,CT,165,0.4849,4209,1999,1830,-3.7
5350166,CT,166,0.786,4024,1733,1624,-3.7
5350167.01,CT,167.01,0.1341,2446,1740,1540,30.2
5350167.02,CT,167.02,0.6014,5745,3257,2878,-1.2
5350168,CT,168,0.5655,5674,2836,2565,3.6
5350169.01,CT,169.01,0.3781,3587,1571,1422,3.3
5350169.02,CT,169.02,0.4378,7596,3426,3252,1.8
5350170,CT,170,1.0124,3407,1348,1266,2.6
5350171,CT,171,0.61,3914,1572,1486,-3.5
5350172,CT,172,1.207,2505,1179,1087,-0.7
5350173,CT,173,0.5942,3586,1540,1400,-2.9
5350174,CT,174,1.0531,7062,2755,2621,-2.8
5350175.01,CT,175.01,0.7906,5963,2565,2348,-1.2
5350175.02,CT,175.02,0.7229,8672,4253,3920,12.9
5350176,CT,176,1.0009,4261,1762,1651,-0.4
5350180,CT,180,0.6138,6462,3016,2753,-1.4
5350181.01,CT,181.01,0.5706,4382,1928,1824,1.6
5350181.02,CT,181.02,0.6018,3546,1645,1554,-0.2
5350182,CT,182,0.7605,5407,2279,2141,-2.2
5350183.01,CT,183.01,0.5241,2623,1046,1003,0.8
5350183.02,CT,183.02,0.4281,4035,1621,1574,2.5
5350184.01,CT,184.01,0.4741,5008,2357,2228,-2
5350184.02,CT,184.02,0.5571,3671,1706,1608,-2.6
5350185.01,CT,185.01,0.4992,6836,3480,3279,0.4
5350185.02,CT,185.02,1.1945,4244,2114,1998,-9.5
5350186,CT,186,1.8682,2382,950,915,-1.4
5350187,CT,187,1.1945,3473,1417,1335,0.7
5350188,CT,188,0.552,2031,831,786,0.7
5350189,CT,189,1.2261,5655,2340,2265,3.5
5350190.01,CT,190.01,0.3985,8588,3468,3257,-5.9
5350190.02,CT,190.02,0.5813,4612,2095,1968,-3.2
5350191,CT,191,0.823,4372,1891,1774,3.4
5350192,CT,192,0.9181,843,467,414,-6.9
5350193,CT,193,1.3846,3264,1080,1037,-1.5
5350194.01,CT,194.01,0.2711,7821,2168,2040,-4
5350194.02,CT,194.02,0.3063,4717,1616,1493,-5.9
5350194.03,CT,194.03,0.2502,2700,1191,1148,-7.9
5350194.04,CT,194.04,2.2646,5399,2516,2383,7.6
5350195.01,CT,195.01,0.9373,4425,1747,1576,-1.3
5350195.02,CT,195.02,0.3781,2384,977,940,2.9
5350196.01,CT,196.01,0.3774,1942,815,772,-1.8
5350196.02,CT,196.02,1.1055,5577,2369,2232,-1
5350200.01,CT,200.01,0.5578,5594,3140,3002,-0.4
5350200.02,CT,200.02,0.1472,1049,671,639,6.9
5350201,CT,201,0.7606,5528,2932,2734,2.9
5350202,CT,202,0.3359,1640,668,644,-0.4
5350203,CT,203,0.5966,3425,1609,1518,8.4
5350204,CT,204,0.7465,4596,2310,2173,1.3
5350205,CT,205,0.7448,144,1,0,-3.4
5350206.01,CT,206.01,1.1402,5106,2626,2483,21.1
5350206.02,CT,206.02,1.0895,6294,3059,2810,7.3
5350207,CT,207,0.675,2597,1295,1142,-0.3
5350208,CT,208,1.2974,4165,2083,1960,-0.2
5350209,CT,209,0.681,2862,1451,1351,5.3
5350210.01,CT,210.01,2.9534,3703,1044,987,20.1
5350210.03,CT,210.03,0.4539,6959,4432,4159,33.7
5350210.04,CT,210.04,0.4751,10080,6673,6166,63
5350211,CT,211,3.2763,6884,2752,2631,8.4
5350212,CT,212,1.6941,5712,2282,2157,0.1
5350213.01,CT,213.01,0.9423,2658,1026,985,-0.3
5350213.02,CT,213.02,7.001,6301,3516,3312,4.2
5350214,CT,214,2.8231,6728,3333,3186,32.7
5350215,CT,215,2.5734,7151,3019,2887,6
5350216,CT,216,1.9782,5489,2224,2136,-0.8
5350217,CT,217,1.223,5900,3017,2832,3.7
5350218,CT,218,0.6764,2674,1055,1016,0.8
5350219,CT,219,1.3542,4531,1696,1644,2.3
5350220,CT,220,1.2991,4196,1597,1546,0.5
5350221.01,CT,221.01,1.6291,6363,2754,2674,-0.2
5350221.02,CT,221.02,0.805,5269,2169,2061,1.3
5350222.01,CT,222.01,1.2848,7105,2907,2795,6.1
5350222.02,CT,222.02,1.2002,4985,1851,1744,-3
5350223.01,CT,223.01,0.8578,1522,545,525,0
5350223.02,CT,223.02,0.8725,2180,793,763,2.1
5350224,CT,224,1.0381,1650,581,569,-2.7
5350225.01,CT,225.01,0.9188,5209,2597,2472,4.6
5350225.02,CT,225.02,0.3045,10827,5846,5429,11.5
5350226,CT,226,0.949,2813,1025,1004,-11.2
5350227,CT,227,0.4918,1752,678,651,0.1
5350228,CT,228,0.8207,3144,1522,1430,0.4
5350229,CT,229,0.3203,1226,396,388,0.2
5350230.01,CT,230.01,1.4481,2649,1297,1141,4.4
5350230.02,CT,230.02,0.9858,6558,2784,2675,0.3
5350231,CT,231,3.0227,6273,2559,2469,-2.9
5350232,CT,232,2.0474,3820,1341,1318,-0.1
5350233,CT,233,2.0783,5707,2079,2014,3.2
5350234,CT,234,2.1001,4531,1642,1593,0.2
5350235.01,CT,235.01,1.4071,2902,1042,1019,2.1
5350235.02,CT,235.02,1.078,5166,2041,1991,-2.1
5350236.01,CT,236.01,0.9868,6949,2750,2667,4.6
5350236.02,CT,236.02,3.9589,5902,2282,2241,-0.7
5350237.01,CT,237.01,1.1853,6641,2463,2381,-2.6
5350237.02,CT,237.02,0.955,3003,1064,1042,0.6
5350237.03,CT,237.03,1.0683,5935,2725,2629,5.3
5350238.01,CT,238.01,1.0368,3500,1327,1302,4.5
5350238.02,CT,238.02,0.9766,5306,2073,1960,1.2
5350239,CT,239,2.5251,6715,2511,2401,3.6
5350240.01,CT,240.01,1.2712,3377,1282,1242,0.3
5350240.02,CT,240.02,1.0371,6089,2614,2544,0.8
5350241,CT,241,1.0863,2772,1035,991,-14.2
5350242,CT,242,0.6108,1566,608,577,-6.5
5350243.01,CT,243.01,0.3152,6212,2233,2112,-6.7
5350243.02,CT,243.02,1.2154,3793,1346,1312,4.9
5350244.01,CT,244.01,1.4233,3663,1308,1262,-0.9
5350244.02,CT,244.02,1.4473,5703,1989,1931,-1
5350245,CT,245,1.4211,7033,2811,2682,1.4
5350246,CT,246,1.0727,3345,1312,1263,-7
5350247.01,CT,247.01,17.2448,9027,3172,3010,3.4
5350247.02,CT,247.02,3.2287,7213,2535,2433,0.6
5350248.02,CT,248.02,1.2135,5538,1840,1779,-2.3
5350248.03,CT,248.03,3.7328,2651,791,768,1.2
5350248.04,CT,248.04,1.4771,4945,1677,1576,3.6
5350248.05,CT,248.05,1.1307,4285,1389,1321,-1.1
5350249.01,CT,249.01,0.8298,4598,1422,1349,-1.1
5350249.03,CT,249.03,2.9649,5569,1671,1592,-2.2
5350249.04,CT,249.04,0.6869,2709,863,810,-19
5350249.05,CT,249.05,0.6431,5606,1705,1619,2.4
5350250.01,CT,250.01,1.3886,5047,1613,1497,-7.1
5350250.02,CT,250.02,1.9387,4958,1825,1747,0.6
5350250.04,CT,250.04,0.485,5939,2077,1983,-4.3
5350250.05,CT,250.05,0.6689,7031,2283,2201,-7.6
5350260.01,CT,260.01,0.7135,6590,2432,2348,-2.3
