GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA21_4818: Total - Generation status for the population in private households,v_CA21_4821: First generation,v_CA21_4824: Second generation,v_CA21_4827: Third generation or more,v_CA21_914: Income statistics for private households,v_CA21_917: Income statistics for one-person private households,v_CA21_920: Income statistics for two-or-more-persons private households,v_CA21_905: Income statistics for private households,"v_CA21_1: Population, 2021",v_CA21_6: Population density per square kilometre
5350078.00,CT,0078.00,0.7622,6282,3121,2931,6045,1425,1715,2905,2885,1165,1715,2935,6282,8241.9
5350079.00,CT,0079.00,1.0045,7424,2997,2874,7335,1640,2070,3625,2925,785,2135,2875,7424,7390.7
5350080.01,CT,0080.01,0.4847,3707,1717,1586,3865,1255,965,1645,1635,485,1150,1590,3707,7648
5350080.02,CT,0080.02,0.4044,4642,2349,2110,4595,2370,1040,1185,2065,785,1280,2110,4642,11478.7
5350081.00,CT,0081.00,0.368,2848,1154,1090,2840,735,920,1175,1060,210,845,1090,2848,7739.1
5350082.00,CT,0082.00,0.3084,2647,1083,1021,2620,785,715,1115,1065,305,760,1025,2647,8583
5350083.00,CT,0083.00,0.4464,3869,1921,1798,3850,1415,1055,1385,1785,715,1070,1795,3869,8667.1
5350084.00,CT,0084.00,0.409,3552,1558,1464,3695,1150,1150,1395,1500,425,1075,1465,3552,8684.6
5350085.00,CT,0085.00,0.4947,4160,2347,2182,3985,1210,875,1900,2145,1100,1050,2180,4160,8409.1
5350086.00,CT,0086.00,1.139,2528,957,900,2485,685,710,1100,875,125,745,900,2528,2219.5
5350087.00,CT,0087.00,1.6034,4814,2608,2374,4880,1425,1110,2340,2430,1035,1395,2375,4814,3002.4
5350088.00,CT,0088.00,0.2297,3127,2129,1865,3075,1675,630,765,1835,910,920,1865,3127,13613.4
5350089.00,CT,0089.00,0.3297,5349,4313,3222,4830,2435,1200,1195,3095,1760,1335,3220,5349,16223.8
5350090.00,CT,0090.00,0.3929,4020,2516,2244,4060,1590,995,1475,2370,1300,1065,2245,4020,10231.6
5350091.01,CT,0091.01,0.5114,5739,3901,3244,5445,2320,1305,1815,3260,1770,1485,3240,5739,11222.1
5350091.02,CT,0091.02,0.323,3421,2260,1919,3175,1190,850,1135,1910,1005,905,1920,3421,10591.3
5350092.00,CT,0092.00,0.6258,6818,4125,3478,6760,2095,2065,2600,3485,1545,1940,3475,6818,10894.9
5350093.00,CT,0093.00,0.6155,5358,2481,2221,5030,1600,1530,1895,2210,690,1520,2220,5358,8705.1
5350094.00,CT,0094.00,0.6373,4699,2141,1960,4855,1990,1420,1435,2000,510,1490,1960,4699,7373.3
5350095.00,CT,0095.00,0.3148,2913,1401,1272,2740,1090,865,790,1235,435,800,1270,2913,9253.5
5350096.01,CT,0096.01,0.1989,1610,716,647,1560,745,395,420,665,225,445,650,1610,8094.5
5350096.02,CT,0096.02,0.3492,3156,1557,1381,3225,1285,980,960,1405,410,1000,1385,3156,9037.8
5350097.01,CT,0097.01,0.3799,3929,1710,1516,3805,1875,1120,805,1525,445,1080,1515,3929,10342.2
5350097.03,CT,0097.03,0.1677,2078,1370,1211,2170,1165,550,455,1210,655,555,1210,2078,12391.2
5350097.04,CT,0097.04,0.323,5031,2481,2283,4880,2330,1415,1135,2260,875,1390,2280,5031,15575.9
5350098.00,CT,0098.00,0.7166,6976,3231,2999,6970,2680,2030,2265,3000,975,2020,2995,6976,9734.9
5350099.00,CT,0099.00,0.5812,6282,3371,3091,6275,2335,1685,2250,3080,1285,1795,3095,6282,10808.7
5350100.00,CT,0100.00,0.2858,2961,1552,1439,2725,995,815,915,1415,600,815,1440,2961,10360.4
5350101.00,CT,0101.00,0.4269,3246,1653,1505,3370,805,1050,1520,1560,560,1000,1505,3246,7603.7
5350102.02,CT,0102.02,0.1157,4561,3199,2690,4430,2165,1045,1220,2650,1445,1205,2690,4561,39420.9
5350102.03,CT,0102.03,0.1309,3576,2173,2038,3630,1875,925,840,2065,1025,1045,2040,3576,27318.6
5350102.04,CT,0102.04,0.1013,706,311,290,670,140,165,360,290,95,195,290,706,6969.4
5350102.05,CT,0102.05,0.119,842,358,343,750,225,195,325,325,95,235,340,842,7075.6
5350103.00,CT,0103.00,0.8379,6195,2777,2646,6100,1555,1965,2585,2690,855,1830,2645,6195,7393.5
5350104.00,CT,0104.00,0.7373,5476,2135,2053,5690,1385,1870,2435,2085,470,1615,2050,5476,7427.1
5350105.00,CT,0105.00,0.5507,4318,1921,1780,4235,1110,1390,1735,1765,555,1215,1780,4318,7840.9
5350106.00,CT,0106.00,1.3787,3680,1427,1311,3690,1885,1125,685,1290,265,1030,1315,3680,2669.2
5350107.00,CT,0107.00,0.7226,4851,1867,1734,4850,2345,1520,985,1735,325,1415,1735,4851,6713.3
5350108.00,CT,0108.00,0.7441,5829,2678,2460,5830,2675,1920,1235,2460,900,1555,2460,5829,7833.6
5350109.00,CT,0109.00,0.6301,5470,2382,2225,5355,2040,1705,1610,2190,480,1705,2225,5470,8681.2
5350110.00,CT,0110.00,0.5441,3491,1544,1412,3490,1500,1095,890,1410,360,1055,1415,3491,6416.1
5350111.00,CT,0111.00,0.4532,2442,950,903,2485,1210,805,470,900,130,770,905,2442,5388.3
5350112.00,CT,0112.00,0.5017,4761,1995,1843,4695,2205,1515,975,1845,470,1375,1840,4761,9489.7
5350113.00,CT,0113.00,0.3823,2521,1189,1041,2525,830,765,930,1055,295,760,1040,2521,6594.3
5350114.00,CT,0114.00,0.6246,5164,2564,2331,4895,1755,1430,1715,2325,955,1375,2330,5164,8267.7
5350115.00,CT,0115.00,0.3777,4219,1737,1620,3975,1740,1185,1050,1655,460,1190,1620,4219,11170.2
5350116.00,CT,0116.00,0.6801,4445,1982,1834,3925,1320,1135,1465,1790,630,1165,1835,4445,6535.8
5350117.00,CT,0117.00,0.3983,2518,1416,1270,2510,730,750,1035,1275,565,715,1270,2518,6321.9
5350118.00,CT,0118.00,0.6969,3995,2187,2018,4105,1290,1305,1510,2050,820,1225,2020,3995,5732.5
5350119.00,CT,0119.00,0.8489,4856,2782,2458,4735,1830,1375,1535,2490,1135,1355,2460,4856,5720.3
5350120.00,CT,0120.00,0.2586,1418,679,629,1390,375,400,615,615,205,415,630,1418,5483.4
5350121.00,CT,0121.00,0.2974,3183,2088,1759,3000,1000,700,1300,1710,835,870,1760,3183,10702.8
5350122.00,CT,0122.00,0.5338,6199,3791,3439,6250,2005,1470,2775,3485,1680,1800,3440,6199,11613
5350123.00,CT,0123.00,0.075,2377,1484,1399,2265,1030,530,705,1400,785,615,1395,2377,31693.3
5350124.00,CT,0124.00,0.5514,5529,3605,3200,5255,2060,1145,2050,3195,1750,1440,3200,5529,10027.2
5350125.00,CT,0125.00,1.1201,4270,1610,1540,4390,1010,1110,2265,1545,245,1300,1540,4270,3812.2
5350126.00,CT,0126.00,1.4493,4164,1736,1672,4320,1155,1390,1775,1705,475,1230,1670,4164,2873.1
5350127.00,CT,0127.00,0.7405,5293,2246,2127,5135,1485,1560,2095,2095,595,1495,2130,5293,7147.9
5350128.02,CT,0128.02,0.5187,12611,8109,6896,12140,6470,2780,2890,6890,3295,3595,6895,12611,24312.7
5350128.04,CT,0128.04,0.162,4772,3145,2936,4835,2220,1195,1415,2995,1695,1295,2935,4772,29456.8
5350128.05,CT,0128.05,0.1816,1127,519,484,1030,330,250,450,490,170,320,485,1127,6205.9
5350128.06,CT,0128.06,0.0858,4870,3114,2867,4730,2990,915,825,2815,1520,1295,2870,4870,56759.9
5350129.00,CT,0129.00,0.9274,5642,2780,2565,5695,1820,1440,2435,2525,865,1655,2565,5642,6083.7
5350130.00,CT,0130.00,1.279,3355,1349,1253,3450,1190,980,1285,1240,265,980,1255,3355,2623.1
