GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA21_4818: Total - Generation status for the population in private households,v_CA21_4821: First generation,v_CA21_4824: Second generation,v_CA21_4827: Third generation or more,v_CA21_914: Income statistics for private households,v_CA21_917: Income statistics for one-person private households,v_CA21_920: Income statistics for two-or-more-persons private households,v_CA21_905: Income statistics for private households,"v_CA21_1: Population, 2021",v_CA21_6: Population density per square kilometre
5350331.04,CT,0331.04,1.1055,3372,1400,1341,3305,1895,840,575,1335,460,880,1340,3372,3050.2
5350332.00,CT,0332.00,1.53,7337,2902,2761,7225,4020,1980,1225,2760,830,1925,2760,7337,4795.4
5350333.00,CT,0333.00,2.4472,4717,1711,1632,4740,1810,1330,1595,1650,305,1345,1630,4717,1927.5
5350334.00,CT,0334.00,2.448,3610,1359,1285,3570,1060,1055,1455,1270,250,1015,1285,3610,1474.7
5350335.00,CT,0335.00,2.2299,7857,3091,2960,7825,3970,1970,1885,2960,880,2080,2960,7857,3523.5
5350336.00,CT,0336.00,1.6111,6901,2573,2440,6730,2760,1860,2115,2395,520,1875,2440,6901,4283.4
5350337.01,CT,0337.01,0.2017,1177,630,564,1225,440,240,545,610,240,375,565,1177,5835.4
5350337.02,CT,0337.02,0.6467,2008,884,841,1710,485,435,790,825,305,515,840,2008,3105
5350338.00,CT,0338.00,1.6845,6092,2811,2679,6105,1640,1620,2840,2700,950,1745,2675,6092,3616.5
5350339.00,CT,0339.00,1.8174,6937,3257,3093,6935,1565,1925,3450,3095,1090,2000,3095,6937,3817
5350340.00,CT,0340.00,1.2679,6931,2577,2456,6895,4065,1710,1120,2425,490,1940,2455,6931,5466.5
5350341.02,CT,0341.02,0.8044,4576,1924,1791,4295,2365,1045,890,1765,600,1170,1790,4576,5688.7
5350341.03,CT,0341.03,0.4,3185,1238,1165,3040,2015,785,240,1185,370,815,1165,3185,7962.5
5350341.04,CT,0341.04,0.671,6152,2493,2359,6370,3755,1675,935,2365,780,1590,2360,6152,9168.4
5350342.00,CT,0342.00,1.2368,7329,2438,2368,7395,4405,1975,1020,2455,435,2025,2370,7329,5925.8
5350343.00,CT,0343.00,1.1126,4260,1650,1549,4080,2105,1125,845,1460,395,1070,1550,4260,3828.9
5350344.01,CT,0344.01,1.0624,5183,1973,1841,5150,3260,1170,720,1830,470,1360,1840,5183,4878.6
5350344.02,CT,0344.02,0.2228,3301,1842,1773,3325,2060,835,430,1780,880,905,1770,3301,14816
5350345.00,CT,0345.00,0.7893,4042,1449,1360,4005,2360,1070,580,1360,285,1075,1360,4042,5121
5350346.01,CT,0346.01,1.5133,4630,1707,1612,4630,2740,1385,510,1615,380,1235,1610,4630,3059.5
5350346.02,CT,0346.02,0.4,5323,2030,1959,5320,3600,1210,505,1960,465,1495,1960,5323,13307.5
5350347.00,CT,0347.00,1.4992,3390,1109,1080,3215,1855,895,470,1100,210,890,1080,3390,2261.2
5350348.00,CT,0348.00,2.3159,5780,2020,1947,5255,2455,1615,1185,1955,485,1475,1945,5780,2495.8
5350349.00,CT,0349.00,0.8762,5633,2350,2220,5590,3360,1330,900,2200,605,1595,2220,5633,6428.9
5350350.00,CT,0350.00,3.361,5228,2046,1944,5275,2810,1550,905,1965,575,1390,1945,5228,1555.5
5350351.01,CT,0351.01,0.9749,5376,2119,1993,5275,2840,1450,985,1930,525,1400,1990,5376,5514.4
5350351.02,CT,0351.02,0.5669,2683,1074,1013,2775,1745,605,425,1080,265,815,1015,2683,4732.8
5350352.00,CT,0352.00,1.1268,5278,1917,1829,5180,3385,1275,520,1830,430,1400,1830,5278,4684.1
5350353.02,CT,0353.02,1.2111,5464,1717,1641,5305,3020,1580,705,1610,260,1355,1640,5464,4511.6
5350353.03,CT,0353.03,0.4081,3000,1094,1044,2885,1995,715,180,1050,275,775,1045,3000,7351.1
5350353.04,CT,0353.04,0.6296,4255,1637,1531,4280,2670,1125,485,1545,385,1160,1530,4255,6758.3
5350354.00,CT,0354.00,1.3228,5421,1847,1716,5415,3550,1280,580,1750,310,1440,1715,5421,4098.1
5350355.02,CT,0355.02,1.1008,5097,1975,1897,5090,3220,1360,510,1895,465,1430,1895,5097,4630.3
5350355.04,CT,0355.04,0.5752,5152,1803,1741,5040,3160,1265,620,1750,340,1415,1740,5152,8956.9
5350355.05,CT,0355.05,0.3124,3525,1488,1395,3605,2335,845,420,1375,410,960,1395,3525,11283.6
5350355.06,CT,0355.06,0.1918,1791,610,586,1630,945,490,200,575,160,420,585,1791,9337.9
5350356.00,CT,0356.00,1.5419,4962,1599,1515,4755,2535,1440,775,1500,265,1230,1515,4962,3218.1
5350357.01,CT,0357.01,1.0372,6706,2480,2351,6895,4245,2120,525,2375,720,1650,2350,6706,6465.5
5350357.02,CT,0357.02,1.0921,5001,1775,1704,4800,2560,1510,735,1685,375,1305,1705,5001,4579.3
5350358.01,CT,0358.01,1.1212,3504,1181,1116,3615,1795,1010,810,1150,215,935,1115,3504,3125.2
5350358.02,CT,0358.02,0.6179,5280,2151,2042,5210,2995,1320,895,2005,675,1325,2045,5280,8545.1
5350358.03,CT,0358.03,1.0926,5718,2298,2209,5525,3050,1445,1030,2215,855,1360,2205,5718,5233.4
5350359.00,CT,0359.00,2.2076,7681,2947,2760,7570,4295,2015,1260,2760,720,2040,2760,7681,3479.3
5350360.00,CT,0360.00,4.5229,6231,2126,2049,6215,2995,1880,1345,2050,310,1740,2045,6231,1377.7
5350361.01,CT,0361.01,2.9344,6037,2023,1972,5970,2175,1910,1890,1975,260,1710,1975,6037,2057.3
5350361.02,CT,0361.02,2.4706,7416,2490,2449,7410,3040,2300,2070,2445,285,2165,2445,7416,3001.7
5350362.01,CT,0362.01,2.4932,6291,2145,2085,6440,3620,1975,845,2095,395,1700,2085,6291,2523.3
5350362.02,CT,0362.02,1.9403,5803,1765,1696,5775,3610,1675,495,1695,170,1525,1695,5803,2990.8
5350362.03,CT,0362.03,3.2757,6875,2200,2098,6850,4410,1810,630,2095,250,1840,2100,6875,2098.8
5350362.04,CT,0362.04,1.3474,5240,1918,1839,4925,2810,1470,645,1830,465,1365,1840,5240,3889
5350363.02,CT,0363.02,1.1895,3270,1126,1089,3135,1760,880,495,1050,185,865,1090,3270,2749.1
5350363.04,CT,0363.04,1.1258,3908,1172,1150,4005,2645,1045,315,1175,160,1020,1150,3908,3471.3
5350363.05,CT,0363.05,0.5046,4665,1779,1695,4680,3095,1215,375,1705,420,1290,1695,4665,9244.9
5350363.06,CT,0363.06,0.821,7176,3441,3267,7340,5325,1675,345,3230,1025,2205,3265,7176,8740.6
5350363.07,CT,0363.07,2.2422,5164,2011,1934,4975,3245,1270,460,1970,650,1325,1935,5164,2303.1
5350364.01,CT,0364.01,2.863,5865,2029,1942,5835,3575,1555,705,1940,395,1550,1940,5865,2048.6
5350364.02,CT,0364.02,0.7384,3110,999,951,2895,1760,775,360,930,165,770,950,3110,4211.8
5350365.00,CT,0365.00,1.5674,7650,2450,2328,7740,5020,2065,655,2350,345,2005,2325,7650,4880.7
5350366.00,CT,0366.00,1.4384,6228,2157,2080,6170,3795,1435,940,2100,395,1705,2080,6228,4329.8
5350367.01,CT,0367.01,0.7132,4534,1394,1353,4420,2985,1120,315,1365,180,1180,1350,4534,6357.3
5350367.02,CT,0367.02,1.0307,3560,1222,1170,3670,2120,1065,480,1160,195,965,1170,3560,3454
5350368.01,CT,0368.01,0.8885,6624,3770,3438,6665,4865,1415,385,3510,1450,2055,3440,6624,7455.3
5350368.02,CT,0368.02,1.5627,4365,1621,1563,4055,2455,1040,565,1495,410,1080,1560,4365,2793.2
5350369.00,CT,0369.00,2.4493,8145,2489,2415,7960,4650,2320,995,2415,345,2070,2415,8145,3325.4
5350370.01,CT,0370.01,1.7559,9656,3795,3680,9480,6485,2480,520,3680,1010,2675,3680,9656,5499.2
5350370.02,CT,0370.02,2.2738,5574,1885,1833,5360,3580,1350,430,1805,360,1440,1830,5574,2451.4
5350370.03,CT,0370.03,0.8572,4262,1446,1377,4290,2395,1220,675,1405,250,1155,1375,4262,4972
5350371.00,CT,0371.00,3.7241,8463,3020,2890,8220,4740,2050,1425,2890,645,2240,2890,8463,2272.5
5350372.00,CT,0372.00,1.3179,4333,1514,1442,4400,2495,1080,825,1470,265,1205,1440,4333,3287.8
5350373.00,CT,0373.00,0.9586,4934,1874,1767,4860,2790,1290,780,1740,375,1360,1770,4934,5147.1
5350374.01,CT,0374.01,1.1867,5150,1937,1799,5340,3385,1400,555,1800,285,1515,1795,5150,4339.8
5350374.02,CT,0374.02,0.8023,3171,1084,1066,3185,2105,775,310,1080,230,850,1065,3171,3952.4
5350374.03,CT,0374.03,0.808,4053,1700,1607,3845,2745,740,360,1590,535,1055,1610,4053,5016.1
5350375.01,CT,0375.01,0.9531,6266,2799,2723,6235,4475,1280,480,2700,935,1760,2720,6266,6574.3
5350375.02,CT,0375.02,0.6138,1887,695,675,1820,725,620,480,675,165,510,675,1887,3074.3
5350375.03,CT,0375.03,0.8111,5221,1908,1847,5275,3410,1370,490,1845,390,1455,1845,5221,6436.9
5350375.04,CT,0375.04,0.9213,5785,1934,1882,5780,4100,1320,360,1895,310,1580,1880,5785,6279.2
5350375.05,CT,0375.05,1.1294,6915,2768,2684,6930,4310,1760,860,2710,810,1900,2685,6915,6122.7
5350376.01,CT,0376.01,1.046,5025,1653,1598,5010,3340,1325,340,1590,195,1395,1600,5025,4804
5350376.02,CT,0376.02,0.8583,4667,1639,1566,4730,3480,1095,155,1600,280,1320,1565,4667,5437.5
5350376.04,CT,0376.04,1.1941,5296,2030,1927,5250,3970,1030,250,1945,395,1550,1925,5296,4435.1
5350376.05,CT,0376.05,1.2908,6299,2043,1979,6290,4755,1445,85,1980,355,1620,1980,6299,4879.9
5350376.06,CT,0376.06,2.1919,428,252,222,280,265,0,0,205,135,70,220,428,195.3
5350376.08,CT,0376.08,0.8788,6056,2222,2157,5975,4265,1400,305,2125,415,1715,2155,6056,6891.2
5350376.09,CT,0376.09,0.801,4250,1639,1582,4125,3235,795,95,1570,355,1210,1580,4250,5305.9
5350376.11,CT,0376.11,0.4704,3313,1053,1021,3200,2205,845,145,995,120,870,1020,3313,7042.9
5350376.12,CT,0376.12,0.9122,5081,1921,1867,5185,3615,1260,310,1895,430,1460,1865,5081,5570.1
5350376.13,CT,0376.13,0.511,3626,1379,1327,3465,2680,675,110,1320,285,1040,1325,3626,7095.9
5350376.14,CT,0376.14,0.7362,3472,1078,1049,3630,2640,895,95,1055,80,970,1050,3472,4716.1
5350376.15,CT,0376.15,0.9131,3560,1572,1508,3590,2830,580,180,1515,370,1145,1510,3560,3898.8
5350376.16,CT,0376.16,0.2715,4484,1959,1846,4150,2855,940,355,1840,735,1110,1845,4484,16515.7
5350377.02,CT,0377.02,1.906,4356,1466,1384,4350,2820,1130,400,1360,165,1195,1385,4356,2285.4
5350377.03,CT,0377.03,0.6501,2682,862,841,2630,1770,630,240,830,110,725,840,2682,4125.5
5350377.04,CT,0377.04,0.8833,5466,1716,1655,5510,4040,1355,115,1665,185,1480,1655,5466,6188.2
5350377.06,CT,0377.06,0.5117,3408,985,957,3325,2580,675,65,950,115,835,955,3408,6660.2
5350377.07,CT,0377.07,0.7646,4556,1313,1273,4350,3150,1025,175,1300,110,1185,1270,4556,5958.7
5350377.08,CT,0377.08,1.2682,4912,1737,1670,5005,3595,1130,280,1710,295,1415,1670,4912,3873.2
5350377.09,CT,0377.09,0.7807,5506,2998,2735,5395,3955,1235,215,2720,1095,1620,2735,5506,7052.6
5350378.02,CT,0378.02,1.0584,2970,943,900,3075,2170,770,130,915,95,820,900,2970,2806.1
5350378.03,CT,0378.03,2.198,7948,2886,2684,7945,5170,2010,760,2685,510,2180,2685,7948,3616
5350378.04,CT,0378.04,1.2793,5958,1805,1736,6020,3895,1845,275,1735,260,1480,1740,5958,4657.2
5350378.05,CT,0378.05,0.7276,3905,1246,1194,3765,2325,990,455,1185,165,1015,1195,3905,5367
5350378.06,CT,0378.06,1.7819,5763,1733,1643,5745,3865,1550,325,1645,170,1475,1645,5763,3234.2
5350378.07,CT,0378.07,2.8047,6694,2292,2204,6345,4435,1545,365,2190,405,1785,2205,6694,2386.7
5350378.08,CT,0378.08,0.8857,6275,2167,2046,6195,4370,1505,315,2025,310,1720,2045,6275,7084.8
5350378.11,CT,0378.11,0.9593,5633,1801,1734,5555,3630,1625,305,1735,285,1455,1735,5633,5872
5350378.12,CT,0378.12,0.7839,5300,1991,1880,5435,3530,1335,575,1890,480,1405,1880,5300,6761.1
5350378.14,CT,0378.14,0.9291,3707,1183,1141,3610,2605,875,130,1130,140,990,1145,3707,3989.9
5350378.16,CT,0378.16,0.6381,5695,2005,1883,5725,3985,1585,155,1880,360,1525,1885,5695,8924.9
5350378.17,CT,0378.17,0.474,3265,963,922,3225,1925,995,305,920,95,830,920,3265,6888.2
5350378.18,CT,0378.18,0.0909,2587,1112,1081,2655,1925,595,130,1090,295,800,1080,2587,28459.8
5350378.19,CT,0378.19,4.5022,4808,1433,1389,4810,3390,1320,100,1385,115,1265,1390,4808,1067.9
5350378.20,CT,0378.20,0.1095,1918,772,760,1845,1500,300,40,750,185,565,760,1918,17516
5350378.21,CT,0378.21,0.7018,3612,1062,1036,3560,2510,915,140,1035,105,930,1040,3612,5146.8
5350378.22,CT,0378.22,0.5321,3114,890,867,3155,2390,740,25,875,70,805,865,3114,5852.3
5350378.23,CT,0378.23,1.5314,3840,1325,1283,3925,2895,895,135,1295,200,1095,1285,3840,2507.5
5350378.24,CT,0378.24,2.5129,5820,2199,2126,5665,4440,1170,55,2140,560,1585,2130,5820,2316
5350378.25,CT,0378.25,4.726,7612,1901,1862,7520,4900,2535,85,1835,105,1725,1860,7612,1610.7
5350378.26,CT,0378.26,1.6267,4867,1234,1213,4960,3240,1615,100,1245,70,1170,1215,4867,2991.9
5350378.27,CT,0378.27,19.9096,5547,1565,1526,5535,3500,1755,280,1530,150,1375,1525,5547,278.6
5350378.28,CT,0378.28,2.2278,6946,2017,1931,6925,4320,2255,350,1930,215,1720,1935,6946,3117.9
5350802.01,CT,0802.01,2.1742,4011,1328,1303,3850,1800,1090,965,1295,180,1115,1300,4011,1844.8
5350802.02,CT,0802.02,2.257,5373,1830,1799,5455,1965,1645,1850,1810,215,1590,1800,5373,2380.6
